City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
234,Cartagena,CO,10.3997,-75.5144,85.62,58,40,14.97,scattered clouds
235,Zyryanka,RU,65.75,150.85,-15.48,100,97,4.07,overcast clouds
236,Alzamay,RU,55.5562,98.6644,-11.63,100,88,2.57,overcast clouds
237,Inhambane,MZ,-23.865,35.3833,82.38,74,20,7.0,few clouds
238,Alugan,PH,12.2188,125.4808,78.64,85,81,6.42,broken clouds
239,Kaitangata,NZ,-46.2817,169.8464,56.57,76,100,4.32,light rain
240,Fernandina Beach,US,30.6697,-81.4626,44.98,46,0,5.99,clear sky
241,Bafra,TR,41.5678,35.9069,35.28,70,96,7.83,overcast clouds
242,Saint-Francois,FR,46.4154,3.9054,38.68,100,100,3.44,overcast clouds
243,Hervey Bay,AU,-25.2986,152.8535,75.02,92,12,8.01,few clouds
244,Ferrol,ES,43.4832,-8.2369,60.24,73,8,5.26,clear sky
245,Buala,SB,-8.145,159.5921,80.42,83,100,7.16,overcast clouds
246,Kumher,IN,27.3167,77.3667,54.54,54,0,3.94,clear sky
247,Kieta,PG,-6.2167,155.6333,79.88,83,100,7.23,overcast clouds
248,Moerai,PF,-22.4333,-151.3333,79.25,75,1,8.37,clear sky
249,Batalha,BR,-9.6778,-37.1247,89.49,41,99,3.71,light rain
250,Fortuna,US,40.5982,-124.1573,40.12,75,0,3.44,clear sky
251,Karratha,AU,-20.7377,116.8463,82.78,62,68,15.08,broken clouds
252,Ust-Uda,RU,54.1742,103.0304,-20.0,100,73,0.34,broken clouds
253,Obzor,BG,42.8167,27.8833,39.94,76,49,4.12,scattered clouds
254,Katsuura,JP,35.1333,140.3,41.18,87,69,12.24,broken clouds
255,Santa Rosa,PH,14.3122,121.1114,81.1,86,29,1.9,scattered clouds
256,Vanimo,PG,-2.6741,141.3028,76.75,89,100,7.43,light rain
257,Port-Gentil,GA,-0.7193,8.7815,84.16,79,40,10.36,scattered clouds
258,Mount Isa,AU,-20.7333,139.5,74.97,100,75,4.61,broken clouds
259,Bartica,GY,6.4,-58.6167,86.32,37,3,3.22,clear sky
260,Kropotkin,RU,45.4375,40.5756,35.47,93,100,19.3,heavy intensity rain
261,Rio Gallegos,AR,-51.6226,-69.2181,69.85,32,75,12.66,broken clouds
262,Ponta Do Sol,PT,32.6667,-17.1,67.01,55,20,7.07,few clouds
263,Salta,AR,-24.7859,-65.4117,76.57,59,75,3.0,broken clouds
264,Hualmay,PE,-11.0964,-77.6139,74.93,70,97,10.31,overcast clouds
265,Hirado,JP,33.3597,129.5531,43.36,45,98,11.16,overcast clouds
266,Luanda,AO,-8.8368,13.2343,82.4,78,75,8.05,broken clouds
267,Saint George,US,37.1041,-113.5841,55.87,47,0,0.0,clear sky
268,Vila Velha,BR,-20.3297,-40.2925,89.55,63,20,8.01,few clouds
269,Darjiu,RO,46.2,25.2,25.12,98,64,0.87,broken clouds
270,Mackay,AU,-21.15,149.2,80.58,69,40,14.97,scattered clouds
271,Itarema,BR,-2.9248,-39.9167,83.14,63,100,9.57,overcast clouds
272,Kiruna,SE,67.8557,20.2251,4.12,92,100,3.44,overcast clouds
273,Cap Malheureux,MU,-19.9842,57.6142,81.09,76,7,5.01,clear sky
274,Abapo,BO,-18.8333,-63.4667,85.03,34,83,4.03,broken clouds
275,Yining,CN,29.0361,114.5636,36.36,98,100,0.78,overcast clouds
276,Tutin,RS,42.9903,20.3314,16.97,93,65,3.74,broken clouds
277,Lakes Entrance,AU,-37.8811,147.981,67.57,96,100,6.69,overcast clouds
278,Sao Joao Da Barra,BR,-21.6403,-41.0511,91.49,79,58,15.5,broken clouds
279,Bengbu,CN,32.9408,117.3608,34.34,60,98,2.89,overcast clouds
280,Coffs Harbour,AU,-30.3,153.1333,71.13,96,63,0.0,broken clouds
281,Sao Filipe,CV,14.8961,-24.4956,71.31,71,100,8.86,overcast clouds
282,Rocha,UY,-34.4833,-54.3333,79.7,51,5,9.24,clear sky
283,Sorong,ID,-0.8833,131.25,81.34,75,76,10.4,moderate rain
284,Yarkovo,RU,57.4028,67.0786,9.45,94,100,5.03,overcast clouds
285,Blagoyevo,RU,63.3667,47.9167,16.68,93,100,9.4,overcast clouds
286,Waddan,LY,29.1614,16.139,53.35,21,37,10.89,scattered clouds
287,Fort Nelson,CA,58.8053,-122.7002,9.99,92,100,6.91,light snow
288,Louis Trichardt,ZA,-23.0439,29.9032,68.23,88,37,11.52,scattered clouds
289,Pacific Grove,US,36.6177,-121.9166,59.58,60,100,1.01,overcast clouds
290,Borgarnes,IS,64.5383,-21.9206,34.36,90,91,11.23,snow
291,Kruisfontein,ZA,-34.0033,24.7314,71.89,67,0,13.69,clear sky
292,Mazagao,BR,-0.115,-51.2894,82.45,91,100,3.58,moderate rain
293,Kyra,RU,49.5776,111.9753,-8.05,96,7,4.79,clear sky
294,Adrar,MR,20.5022,-10.0711,87.21,9,100,12.21,overcast clouds
295,Kattivakkam,IN,13.2167,80.3167,80.08,79,44,10.4,scattered clouds
296,Nordhorn,DE,52.4333,7.0833,52.75,64,89,29.37,overcast clouds
297,Ilembula,TZ,-8.9,34.5833,63.03,93,100,3.98,overcast clouds
298,Flin Flon,CA,54.7682,-101.865,1.24,78,75,3.44,broken clouds
299,Minsk,BY,53.9,27.5667,24.55,94,100,11.45,overcast clouds
300,Yumen,CN,40.2833,97.2,17.37,54,0,3.0,clear sky
301,Onokhoy,RU,51.932,108.0747,-25.85,99,49,3.24,scattered clouds
302,Nhulunbuy,AU,-12.2333,136.7667,79.41,89,40,11.5,light rain
303,Vestmannaeyjar,IS,63.4427,-20.2734,31.19,69,40,9.22,scattered clouds
304,Staryy Nadym,RU,65.6118,72.6842,-7.85,95,100,8.86,overcast clouds
305,Kuryk,KZ,43.2,51.65,40.68,70,62,9.75,broken clouds
306,Kitui,KE,-1.367,38.0106,70.21,62,50,6.69,scattered clouds
307,Verkhnedneprovskiy,RU,54.9813,33.3457,22.14,88,100,6.17,overcast clouds
308,Dovolnoye,RU,54.4958,79.6671,3.47,88,99,7.0,overcast clouds
309,Kotagiri,IN,11.4333,76.8833,62.67,79,46,3.0,scattered clouds
310,Port Blair,IN,11.6667,92.75,78.84,83,75,4.61,mist
311,Kargil,IN,34.5667,76.1,-3.48,96,68,3.91,broken clouds
312,Emerald,AU,-23.5333,148.1667,75.34,69,11,8.05,few clouds
313,Antalaha,MG,-14.9003,50.2788,77.52,82,96,9.91,overcast clouds
314,Koszalin,PL,54.1944,16.1722,46.67,85,100,28.97,overcast clouds
315,Gat,IL,31.61,34.7642,52.48,79,27,2.91,scattered clouds
316,Marawi,PH,7.9986,124.2928,68.65,95,49,1.23,scattered clouds
317,Ulundi,ZA,-28.3352,31.4162,68.4,91,89,4.97,overcast clouds
318,Bilma,NE,18.6853,12.9164,67.32,14,0,9.93,clear sky
319,Trinidad,BO,-14.8333,-64.9,82.38,74,75,9.22,broken clouds
320,Jaru,BR,-10.4389,-62.4664,78.49,92,99,6.22,overcast clouds
321,Varca,IN,15.2167,73.9167,80.6,69,4,6.91,clear sky
322,Valparaiso,CL,-33.0393,-71.6273,69.44,66,75,9.22,broken clouds
323,Lensk,RU,60.7253,114.9278,-6.29,96,100,7.58,overcast clouds
324,Pangnirtung,CA,66.1451,-65.7125,-16.6,76,100,9.22,light snow
325,Havre-Saint-Pierre,CA,50.2334,-63.5986,3.79,60,75,9.22,broken clouds
326,Lorengau,PG,-2.0226,147.2712,80.35,79,100,8.81,overcast clouds
327,Chokurdakh,RU,70.6333,147.9167,-15.2,87,100,2.15,overcast clouds
328,Anapskaya,RU,44.89,37.38,37.63,80,75,6.71,broken clouds
329,Chimbote,PE,-9.0853,-78.5783,74.89,70,97,9.37,overcast clouds
330,East London,ZA,-33.0153,27.9116,72.54,73,20,9.22,few clouds
331,Lang Son,VN,21.8333,106.7333,47.86,88,100,7.09,overcast clouds
332,Ilulissat,GL,69.2167,-51.1,9.66,66,100,23.47,overcast clouds
333,Atar,MR,20.5169,-13.0499,86.52,12,100,7.49,overcast clouds
334,Saint-Georges,GD,12.0564,-61.7485,83.88,61,40,11.5,scattered clouds
335,Komsomolskiy,UZ,40.4272,71.7189,36.32,93,75,2.3,fog
336,Sola,VU,-13.8833,167.55,80.28,82,100,21.85,overcast clouds
337,Corinth,GR,37.9407,22.9573,46.63,84,100,1.99,overcast clouds
338,Forio,IT,40.7342,13.8646,50.29,44,78,8.7,broken clouds
339,Beyla,GN,8.6833,-8.6333,92.77,11,29,7.92,scattered clouds
340,Saint Anthony,US,45.0205,-93.218,22.66,63,40,4.0,scattered clouds
341,Hay River,CA,60.8156,-115.7999,-2.22,78,100,3.44,light snow
342,Ziro,IN,27.6333,93.8333,31.33,89,9,2.24,clear sky
343,Solnechnyy,RU,50.7214,136.6319,-14.89,94,81,3.62,broken clouds
344,Buzuluk,RU,52.7807,52.2635,5.2,97,98,4.9,overcast clouds
345,Vardo,NO,70.3705,31.1107,22.26,74,100,7.16,overcast clouds
346,Atbasar,KZ,51.8,68.3333,1.76,95,100,5.46,overcast clouds
