City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
185,Pandan,PH,2022-01-29 15:21:57,14.0453,124.1694,77.31,89,27,6.69
186,Leningradskiy,RU,2022-01-29 15:21:58,69.3833,178.4167,-1.34,79,96,3.96
187,Bilibino,RU,2022-01-29 15:21:58,68.0546,166.4372,-4.61,89,100,2.95
188,Norman Wells,CA,2022-01-29 15:21:58,65.282,-126.8329,-27.36,68,75,4.61
189,Dahuk,IQ,2022-01-29 15:20:26,36.8695,42.994,38.68,79,86,1.79
190,Freetown,SL,2022-01-29 15:21:59,8.484,-13.2299,87.51,55,20,11.18
191,Maldonado,UY,2022-01-29 15:21:59,-34.6667,-54.9167,78.19,42,0,3.69
192,Raga,SS,2022-01-29 15:22:00,8.4596,25.678,86.65,12,14,8.37
193,Rawson,AR,2022-01-29 15:18:40,-43.3002,-65.1023,79.43,41,6,7.96
194,Port Elizabeth,ZA,2022-01-29 15:17:43,-33.918,25.5701,80.1,61,0,14.54
195,Osa,RU,2022-01-29 15:22:00,57.2829,55.4567,7.66,97,100,3.02
196,Alofi,NU,2022-01-29 15:20:13,-19.0595,-169.9187,71.49,100,77,0.0
197,Kahului,US,2022-01-29 15:22:01,20.8947,-156.47,71.62,72,0,10.36
198,Vestmannaeyjar,IS,2022-01-29 15:22:01,63.4427,-20.2734,31.19,64,0,2.3
199,Isangel,VU,2022-01-29 15:22:02,-19.55,169.2667,78.91,94,100,6.91
200,Rio Gallegos,AR,2022-01-29 15:17:48,-51.6226,-69.2181,68.05,37,0,6.91
201,Scarborough,GB,2022-01-29 15:22:02,54.2797,-0.4044,51.37,64,44,8.01
202,Gelibolu,TR,2022-01-29 15:22:03,40.4103,26.6708,46.26,70,100,10.51
203,Grindavik,IS,2022-01-29 15:22:03,63.8424,-22.4338,34.27,86,75,11.5
204,Naberera,TZ,2022-01-29 15:22:04,-4.2,36.9333,73.42,61,80,11.1
205,Jacksonville,US,2022-01-29 15:17:27,30.3322,-81.6556,42.03,49,20,4.0
206,Balkhash,KZ,2022-01-29 15:22:05,46.844,74.9804,27.5,96,100,13.11
207,Coquimbo,CL,2022-01-29 15:22:05,-29.9533,-71.3436,69.53,64,75,13.8
208,Guerrero Negro,MX,2022-01-29 15:22:06,27.9769,-114.0611,58.95,50,0,1.59
209,Nagornyy,RU,2022-01-29 15:22:06,52.7959,83.5498,7.95,100,25,1.48
210,Matagami,CA,2022-01-29 15:17:35,49.7502,-77.6328,-9.29,77,100,9.22
211,Sydney,AU,2022-01-29 15:20:15,-33.8679,151.2073,76.3,84,75,1.99
212,Matola,MZ,2022-01-29 15:22:07,-25.9622,32.4589,75.15,100,75,17.27
213,Souillac,MU,2022-01-29 15:22:08,-20.5167,57.5167,82.78,78,40,9.22
214,Qidong,CN,2022-01-29 15:22:08,31.8128,121.6561,39.04,71,100,7.92
215,Jalu,LY,2022-01-29 15:22:08,29.0331,21.5482,60.12,36,5,16.49
216,Okha,RU,2022-01-29 15:22:09,53.5739,142.9478,-17.19,94,8,9.17
217,Kapoeta,SS,2022-01-29 15:22:09,4.7717,33.5903,94.87,16,2,9.4
218,Nishihara,JP,2022-01-29 15:22:10,26.1842,127.7558,61.88,88,75,13.8
219,Sarkand,KZ,2022-01-29 15:22:10,45.41,79.9186,28.58,84,100,5.37
220,Hasaki,JP,2022-01-29 15:22:10,35.7333,140.8333,36.28,74,92,17.45
221,Verkhnevilyuysk,RU,2022-01-29 15:22:11,63.4453,120.3167,-10.55,98,96,6.51
222,Zhenlai,CN,2022-01-29 15:22:11,45.8495,123.2973,4.12,77,1,7.67
223,Poum,NC,2022-01-29 15:21:22,-20.2333,164.0167,80.92,80,24,11.72
224,Hvide Sande,DK,2022-01-29 15:22:12,56.0045,8.1294,48.78,82,100,49.03
225,Abashiri,JP,2022-01-29 15:20:38,44.0213,144.2697,13.95,81,99,10.47
226,Nordstemmen,DE,2022-01-29 15:22:12,52.162,9.7835,50.2,94,100,15.01
227,San Cristobal,VE,2022-01-29 15:22:13,7.7669,-72.225,73.58,39,6,4.41
228,Grand Gaube,MU,2022-01-29 15:22:13,-20.0064,57.6608,82.8,75,9,5.01
229,Uyskoye,RU,2022-01-29 15:22:14,54.3775,60.0047,5.02,98,99,2.1
230,Clyde River,CA,2022-01-29 15:22:14,70.4692,-68.5914,-5.57,77,100,4.61
231,Bosaso,SO,2022-01-29 15:23:15,11.2842,49.1816,76.1,63,100,9.91
232,Najran,SA,2022-01-29 15:23:15,17.4924,44.1277,74.05,25,5,3.0
233,Russell,US,2022-01-29 15:23:15,32.3502,-85.1999,33.06,43,0,13.8
234,Sao Joao Da Barra,BR,2022-01-29 15:22:21,-21.6403,-41.0511,91.49,74,77,9.75
235,Pangnirtung,CA,2022-01-29 15:23:16,66.1451,-65.7125,-16.6,76,100,12.66
236,Asgabat,TM,2022-01-29 15:23:16,37.95,58.3833,44.46,65,40,2.3
237,Nongstoin,IN,2022-01-29 15:23:17,25.5167,91.2667,42.12,76,1,2.24
238,Gua Musang,MY,2022-01-29 15:23:17,4.8823,101.9644,73.92,84,66,2.37
239,Bereda,ES,2022-01-29 15:23:17,43.2686,-7.5406,57.88,50,2,3.78
240,Elizabeth City,US,2022-01-29 15:23:18,36.2946,-76.2511,32.05,89,100,20.71
241,Minggang,CN,2022-01-29 15:23:18,32.4586,114.0486,32.38,79,100,2.82
242,Tarauaca,BR,2022-01-29 15:23:19,-8.1614,-70.7656,84.13,66,100,2.62
243,Lorengau,PG,2022-01-29 15:23:19,-2.0226,147.2712,80.98,76,100,7.52
244,Airai,TL,2022-01-29 15:23:20,-8.9266,125.4092,60.84,85,100,3.29
245,Geraldton,AU,2022-01-29 15:23:20,-28.7667,114.6,74.12,78,0,4.61
246,Ilukste,LV,2022-01-29 15:23:21,55.9775,26.2966,29.12,79,100,10.89
247,Belyy Yar,RU,2022-01-29 15:23:21,53.6039,91.3903,-9.51,84,20,0.0
248,Kaka,TM,2022-01-29 15:23:22,37.3482,59.6143,47.05,56,95,6.64
249,Mao,ES,2022-01-29 15:23:22,39.8885,4.2658,55.96,71,20,13.8
250,Asfi,MA,2022-01-29 15:23:22,32.2994,-9.2372,71.56,40,30,8.12
251,Ardakan,IR,2022-01-29 15:23:23,32.31,54.0175,52.18,22,0,5.7
252,Tocopilla,CL,2022-01-29 15:23:23,-22.092,-70.1979,70.27,70,3,4.85
253,Bom Jesus,BR,2022-01-29 15:23:24,-9.0744,-44.3586,76.91,83,96,8.34
254,Sioux Lookout,CA,2022-01-29 15:23:24,50.1001,-91.917,1.78,85,100,4.61
255,Defiance,US,2022-01-29 15:23:24,41.3334,-84.45,13.21,85,75,0.0
256,Kaeo,NZ,2022-01-29 15:23:25,-35.1,173.7833,61.38,83,58,8.14
257,Seymchan,RU,2022-01-29 15:23:25,62.8833,152.4333,-13.14,96,100,3.76
258,Soyo,AO,2022-01-29 15:23:26,-6.1349,12.3689,83.21,71,77,11.03
259,Faya,SA,2022-01-29 15:23:26,18.3851,42.4509,59.11,63,9,8.37
